States/UTs,Total No. of Road Accidents - 2016,Number of Persons Killed - 2016,Number of Persons Greviously Injured - 2016,Number of Persons Minor Injured - 2016
Andhra Pradesh,336,141,34,281
Arunachal Pradesh,1,1,0,0
Assam,39,23,18,12
Bihar,187,125,87,42
Chhattisgarh,51,19,30,39
Goa,0,0,0,0
Gujarat,264,115,116,145
Haryana,179,95,69,72
Himachal Pradesh,0,0,0,0
Jammu & Kashmir,0,0,0,0
Jharkhand,265,105,144,72
Karnataka,24,6,0,19
Kerala,0,0,0,0
Madhya Pradesh,467,45,45,575
Maharashtra,43,19,20,13
Manipur,0,0,0,0
Meghalaya,6,4,2,0
Mizoram,0,0,0,0
Nagaland,0,0,0,0
Odisha,0,0,0,0
Punjab,23,13,6,1
Rajasthan,0,0,0,0
Sikkim,37,21,12,68
Tamil Nadu,1179,313,52,1113
Telangana,1,1,0,0
Tripura,1,1,0,0
Uttarakhand,0,0,0,0
Uttar Pradesh,2010,1085,991,398
West Bengal,82,44,32,16
Andaman and Nicobar Island,0,0,0,0
Chandigarh,0,0,0,0
Dadra and Nagar Haveli,3,3,4,7
Daman and Diu,0,0,0,0
Delhi,2,2,0,0
Lakshadweep,0,0,0,0
Puducherry,0,0,0,0
All India,5200,2181,1662,2873
