States/UTs,Fatal Accidents,Grievous Injury Accidents,Minor Injury Accidents,Non-Injury Accidents,Total Accidents
Andhra Pradesh,7564,4607,10285,3271,25727
Arunachal Pradesh,103,86,26,26,241
Assam,2474,3451,706,539,7170
Bihar,5045,2431,887,492,8855
Chhattisgarh,3878,1706,6285,1694,13563
Goa,306,237,926,2448,3917
Gujarat,6739,5653,5033,1656,19081
Haryana,4700,1700,4771,87,11258
Himachal Pradesh,907,959,1042,206,3114
Jammu & Kashmir,765,2179,1945,735,5624
Jharkhand,3034,1734,337,93,5198
Karnataka,9739,14191,14247,4365,42542
Kerala,3915,27034,5994,1527,38470
Madhya Pradesh,9258,4863,34493,4785,53399
Maharashtra,11220,12164,7253,5216,35853
Manipur,107,91,342,38,578
Meghalaya,140,253,101,181,675
Mizoram,55,8,2,3,68
Nagaland,35,72,159,265,531
Orissa,4372,4021,2302,160,10855
Punjab,4139,1490,561,83,6273
Rajasthan,9300,4017,8110,685,22112
Sikkim,60,70,58,8,196
Tamil Nadu,15061,5005,43856,1640,65562
Telangana,6110,1165,12695,2514,22484
Tripura,153,339,2,9,503
Uttarakhand,727,674,167,35,1603
Uttar Pradesh,17706,14363,6044,670,38783
West Bengal,5199,4811,560,1061,11631
A & N Islands,20,54,88,27,189
Chandigarh,103,7,198,34,342
D & N Haveli,40,20,4,3,67
Daman & Diu,36,31,4,8,79
Delhi,1565,907,4110,91,6673
Lakshadweep,0,1,0,0,1
Puducherry,221,577,807,88,1693
Total,134796,120971,174400,34743,464910
